iter	Logloss
0	0.6646488706
1	0.6397620401
2	0.6169622317
3	0.5967823468
4	0.5790690195
5	0.563699529
6	0.5499485291
7	0.537566492
8	0.5271816565
9	0.5168502633
10	0.5080019535
11	0.5000305339
12	0.4933926246
13	0.4869553235
14	0.481410486
15	0.4763176772
16	0.4717937501
17	0.4672641114
18	0.4633822178
19	0.4599462155
20	0.4566213068
21	0.4536390827
22	0.4507458818
23	0.4484274976
24	0.4467203289
25	0.4448642003
26	0.4429718355
27	0.4411848282
28	0.4396269455
29	0.4384772669
30	0.437077323
31	0.4356439762
32	0.4343225001
33	0.433359865
34	0.4323527114
35	0.4313871279
36	0.4304892828
37	0.4296345724
38	0.428780438
39	0.4279498924
40	0.4271834269
41	0.4264923692
42	0.4257768976
43	0.4251525282
44	0.4245225657
45	0.4239661597
46	0.4234259546
47	0.42284896
48	0.4223827064
49	0.4219309142
50	0.4215707276
51	0.4213461701
52	0.420980358
53	0.4205303152
54	0.4200763784
55	0.419796718
56	0.419415689
57	0.4190432569
58	0.4187410832
59	0.4185923283
60	0.4182441344
61	0.4179898193
62	0.4176961757
63	0.4174732789
64	0.4172274735
65	0.416944871
66	0.4167168132
67	0.4165361488
68	0.4162609746
69	0.4160646836
70	0.4158784126
71	0.4156745742
72	0.4155524493
73	0.415329197
74	0.4152159608
75	0.4150327531
76	0.4148880201
77	0.4147922797
78	0.414696124
79	0.4145648277
80	0.414385355
81	0.4142534876
82	0.4140932086
83	0.4139061931
84	0.4137714666
85	0.4136065012
86	0.4135400807
87	0.4134230502
88	0.4132913417
89	0.4131792214
90	0.4130307243
91	0.4129404369
92	0.4128206891
93	0.412784246
94	0.4126607425
95	0.4125384791
96	0.4124400781
97	0.4123345301
98	0.4122820768
99	0.412169365
100	0.4120542466
101	0.41196307
102	0.411878526
103	0.4117946451
104	0.4117538455
105	0.4116510029
106	0.4115900358
107	0.4114680088
108	0.4113531736
109	0.4112444657
110	0.411151209
111	0.4110132287
112	0.4109156982
113	0.4108203917
114	0.4107470384
115	0.4107060089
116	0.4106013476
117	0.410510989
118	0.4104653479
119	0.4103953887
120	0.4103818126
121	0.4103740612
122	0.4102745815
123	0.4102278617
124	0.4101354007
125	0.410087091
126	0.4100125046
127	0.4099319689
128	0.4098490527
129	0.4097805746
130	0.4097210533
131	0.4097133066
132	0.4096903163
133	0.409619482
134	0.4095423975
135	0.4095177832
136	0.4094296827
137	0.4093962721
138	0.4093459207
139	0.4092911745
140	0.4092210076
141	0.4091609671
142	0.409124003
143	0.4091219033
144	0.4090708216
145	0.4089947229
146	0.4089109045
147	0.4088957737
148	0.408836358
149	0.4087467416
150	0.4086714405
151	0.4086014495
152	0.4085279518
153	0.408457272
154	0.4083921002
155	0.4083409487
156	0.4082890808
157	0.4082360793
158	0.4081635656
159	0.408100225
160	0.4080685424
161	0.408020869
162	0.4079507048
163	0.407907209
164	0.4078552149
165	0.4077838912
166	0.4077387705
167	0.4076788049
168	0.4076542026
169	0.4076220161
170	0.4076119279
171	0.4075678256
172	0.4075276387
173	0.407458345
174	0.4074260208
175	0.4073420852
176	0.40731563
177	0.40731563
178	0.4072385508
179	0.4072099368
180	0.4071492984
181	0.4071037542
182	0.4070690741
183	0.4070402585
184	0.4069844449
185	0.4069716683
186	0.406937922
187	0.4068963484
188	0.4068373581
189	0.4067935416
190	0.4067411586
191	0.4067371397
192	0.4066920066
193	0.4066329684
194	0.4065750525
195	0.4065613506
196	0.4065114323
197	0.4065086123
198	0.4064437064
199	0.406381839
200	0.4063357831
201	0.4063326025
